Date,Open,High,Low,Close,Volume,OpenInt
2015-06-24,25.599,25.637,25.319,25.329,34929965,0
2015-06-25,25.348,25.413,25.106,25.126,25120785,0
2015-06-26,25.126,25.208,25.005,25.173,27741776,0
2015-06-29,24.995,25.06,24.653,24.755,35915447,0
2015-06-30,24.921,25.051,24.653,24.687,38267489,0
2015-07-01,24.782,24.967,24.594,24.773,32746130,0
2015-07-02,24.809,24.93,24.715,24.883,27983707,0
2015-07-06,24.653,24.755,24.345,24.447,29981036,0
2015-07-07,24.512,24.671,24.093,24.594,35134981,0
2015-07-08,24.243,24.381,24.048,24.057,34471504,0
2015-07-09,24.317,24.531,24.169,24.178,32728802,0
2015-07-10,24.522,24.567,24.196,24.41,27292353,0
2015-07-13,24.614,24.653,24.381,24.594,26178158,0
2015-07-14,24.502,24.836,24.483,24.773,23993538,0
2015-07-15,24.725,24.893,24.715,24.875,30052978,0
2015-07-16,25.069,25.126,24.94,25.126,32969982,0
2015-07-17,25.31,25.395,25.116,25.31,44329867,0
2015-07-20,25.198,25.284,25.096,25.217,26567850,0
2015-07-21,25.069,25.227,24.903,24.948,31513660,0
2015-07-22,24.976,25.051,24.687,24.745,25972386,0
2015-07-23,24.687,24.715,24.345,24.4,24969256,0
2015-07-24,24.447,24.457,23.852,23.928,33496029,0
2015-07-27,23.731,24.14,23.714,24.113,39041394,0
2015-07-28,24.251,24.381,24.113,24.251,29873630,0
2015-07-29,24.243,24.42,24.205,24.4,25815881,0
2015-07-30,24.372,24.381,24.169,24.27,23804370,0
2015-07-31,24.372,24.43,24.205,24.251,24965275,0
2015-08-03,24.27,24.279,23.787,24.039,35047521,0
2015-08-04,24.057,24.215,24.001,24.066,23660483,0
2015-08-05,24.243,24.466,24.187,24.251,27412457,0
2015-08-06,24.299,24.326,24.122,24.187,18615999,0
2015-08-07,24.113,24.215,23.797,23.965,27891045,0
2015-08-10,24.066,24.438,24.066,24.381,25268333,0
2015-08-11,24.187,24.187,23.825,23.888,30377779,0
2015-08-12,23.731,24.048,23.555,24.029,35144670,0
2015-08-13,23.945,24.075,23.806,23.965,17669784,0
2015-08-14,23.834,24.251,23.806,24.234,22370326,0
2015-08-17,24.113,24.381,23.972,24.354,20688649,0
2015-08-18,24.317,24.354,24.103,24.224,21899488,0
2015-08-19,24.066,24.187,23.806,23.908,31371171,0
2015-08-20,23.704,23.825,23.397,23.407,37285995,0
2015-08-21,23.136,23.351,22.822,22.849,70062904,0
2015-08-24,21.223,22.655,17.999,22.18,98171722,0
2015-08-25,22.978,22.987,21.622,21.622,65409609,0
2015-08-26,22.162,22.364,21.622,22.31,84983527,0
2015-08-27,22.701,23.238,22.655,23.238,69839377,0
2015-08-28,23.156,23.387,23.025,23.377,35452893,0
2015-08-31,23.211,23.211,22.84,23.063,39826917,0
2015-09-01,22.504,22.635,22.003,22.189,70323562,0
2015-09-02,22.431,22.84,22.143,22.831,54327707,0
2015-09-03,23.006,23.183,22.664,22.774,36122510,0
2015-09-04,22.469,22.469,22.162,22.3,38343366,0
2015-09-08,22.774,23.211,22.552,23.193,49734462,0
2015-09-09,23.415,23.434,22.746,22.812,37248759,0
2015-09-10,22.822,23.1,22.766,22.933,37707554,0
2015-09-11,22.987,23.193,22.766,23.183,34334180,0
2015-09-14,23.203,23.211,22.857,23.015,28237044,0
2015-09-15,23.136,23.648,22.952,23.508,49865545,0
2015-09-16,23.723,24.187,23.62,24.093,66229677,0
2015-09-17,23.906,24.31,23.691,23.766,52100039,0
2015-09-18,23.578,23.634,23.167,23.249,83060014,0
2015-09-21,23.335,23.624,23.288,23.522,31593277,0
2015-09-22,23.213,23.588,23.063,23.541,47151569,0
2015-09-23,23.448,23.747,23.419,23.57,43935651,0
2015-09-24,23.316,23.86,23.108,23.354,56788140,0
2015-09-25,23.438,23.475,23.306,23.362,41546382,0
2015-09-28,23.147,23.194,22.791,22.791,45483659,0
2015-09-29,22.81,23.063,22.743,23.035,44359908,0
2015-09-30,23.184,23.663,23.147,23.644,46675093,0
2015-10-01,23.578,23.728,23.24,23.616,42371444,0
2015-10-02,23.316,23.896,23.278,23.878,45520968,0
2015-10-05,24.721,25.501,24.581,25.145,112433535,0
2015-10-06,25.302,25.697,25.275,25.583,76702835,0
2015-10-07,25.781,26.035,25.613,26.035,70234504,0
2015-10-08,25.903,26.439,25.715,26.278,54521866,0
2015-10-09,26.231,26.409,26.148,26.317,50459174,0
2015-10-12,26.231,26.409,26.166,26.335,26908080,0
2015-10-13,26.231,26.513,26.128,26.128,46082990,0
2015-10-14,26.006,26.1,25.763,25.875,41714764,0
2015-10-15,26.064,26.409,25.912,26.278,82109838,0
2015-10-16,26.821,27.367,26.457,27.17,151488242,0
2015-10-19,27,27.713,26.953,27.177,139771174,0
2015-10-20,27.02,27.187,26.907,26.981,80164790,0
2015-10-21,26.99,27.412,26.981,27.048,69887201,0
2015-10-22,27.142,27.881,27.103,27.732,86907458,0
2015-10-23,27.845,27.967,27.581,27.666,81991016,0
2015-10-26,27.674,27.806,27.572,27.703,52007536,0
2015-10-27,27.572,27.787,27.404,27.62,72112784,0
2015-10-28,27.498,27.732,27.328,27.553,75815486,0
2015-10-29,27.347,27.543,27.245,27.507,45198516,0
2015-10-30,27.394,27.498,27.103,27.113,75755529,0
2015-11-02,27.132,27.562,27.074,27.562,63470884,0
2015-11-03,27.385,27.928,27.357,27.742,102217853,0
2015-11-04,27.703,27.928,27.62,27.693,112140311,0
2015-11-05,27.63,27.881,27.478,27.787,130765505,0
2015-11-06,27.6,28.078,27.421,28.05,134516199,0
2015-11-09,27.899,28.078,27.543,27.89,155158590,0
2015-11-10,27.777,28.377,27.76,28.238,255427575,0
2015-11-11,28.312,28.894,28.312,28.753,210770506,0
2015-11-12,28.509,28.969,28.228,28.275,312308917,0
2015-11-13,27.994,28.584,27.947,28.387,263628700,0
2015-11-16,28.012,28.687,27.909,28.463,303788954,0
2015-11-17,28.661,28.828,28.126,28.426,460084963,0
2015-11-18,28.332,28.661,28.22,28.612,189625682,0
2015-11-19,28.481,28.602,28.36,28.377,105524691,0
2015-11-20,28.369,29.054,28.322,28.743,224806362,0
2015-11-23,28.678,28.894,28.369,28.678,144416496,0
2015-11-24,28.434,28.94,28.387,28.743,155598613,0
2015-11-25,28.725,28.734,28.407,28.463,57769951,0
2015-11-27,28.377,28.481,28.303,28.463,35353145,0
2015-11-30,28.434,28.548,28.069,28.069,85030350,0
2015-12-01,28.116,28.36,28.004,28.284,57860790,0
2015-12-02,28.21,28.342,28.012,28.097,47057930,0
2015-12-03,28.21,28.36,28.097,28.153,67167292,0
2015-12-04,28.19,28.612,28.088,28.584,62082880,0
2015-12-07,28.519,28.539,28.238,28.473,71126127,0
2015-12-08,28.19,28.481,28.041,28.303,56816110,0
2015-12-09,28.144,28.678,28.088,28.566,53930723,0
2015-12-10,28.539,28.996,28.473,28.734,50220990,0
2015-12-11,28.426,28.696,28.266,28.369,67100980,0
2015-12-14,28.369,28.556,27.909,28.369,69387251,0
2015-12-15,28.499,28.696,28.332,28.426,63301540,0
2015-12-16,28.556,29.279,28.519,29.046,78753059,0
2015-12-17,29.223,29.326,28.836,28.855,61432455,0
2015-12-18,28.703,28.883,28.6,28.6,88028752,0
2015-12-21,28.732,28.903,28.477,28.713,43110954,0
2015-12-22,28.799,28.931,28.486,28.799,44738555,0
2015-12-23,28.826,29.281,28.826,29.233,37876753,0
2015-12-24,29.185,29.213,28.987,29.119,14312976,0
2015-12-28,29.036,29.281,28.908,29.185,28111291,0
2015-12-29,29.29,29.733,29.281,29.545,35357864,0
2015-12-30,29.545,29.691,29.29,29.326,30835037,0
2015-12-31,29.149,29.743,29.08,29.422,55378029,0
2016-01-04,28.855,29.054,28.572,29.006,66455125,0
2016-01-05,28.977,29.129,28.761,29.036,58189825,0
2016-01-06,28.59,29.011,28.382,28.572,66320766,0
2016-01-07,28.005,28.293,27.25,27.364,97585540,0
2016-01-08,27.579,27.673,26.769,26.872,78829706,0
2016-01-11,26.956,28.26,26.683,26.994,61860118,0
2016-01-12,27.165,27.273,26.769,27.052,50416493,0
2016-01-13,27.305,27.447,26.636,26.673,58924156,0
2016-01-14,26.739,27.629,26.72,27.447,69020894,0
2016-01-15,26.579,27.165,26.541,26.909,73471961,0
2016-01-19,27.127,27.288,26.636,26.909,55040521,0
2016-01-20,26.38,26.853,25.955,26.448,93177219,0
2016-01-21,26.571,27.382,26.571,27.004,59286802,0
2016-01-22,26.966,26.975,26.172,26.673,92998536,0
2016-01-25,26.749,26.909,26.448,26.483,47478182,0
2016-01-26,26.513,26.956,26.493,26.739,44915324,0
2016-01-27,26.636,26.989,26.276,26.448,48808415,0
2016-01-28,26.655,26.777,26.38,26.646,42406103,0
2016-01-29,26.881,27.496,26.769,27.486,54596250,0
2016-02-01,27.401,27.418,26.975,27.052,45979574,0
2016-02-02,26.701,26.72,26.371,26.673,42423485,0
2016-02-03,26.816,27.098,26.324,27.078,46846942,0
2016-02-04,27.06,27.825,26.909,27.561,57163447,0
2016-02-05,27.532,27.579,26.729,26.956,55028453,0
2016-02-08,26.655,26.701,26.22,26.606,50918701,0
2016-02-09,26.21,26.956,26.21,26.71,39170483,0
2016-02-10,26.796,27.108,26.683,26.729,34393321,0
2016-02-11,26.21,26.473,25.596,25.927,85272307,0
2016-02-12,26.04,26.693,25.842,26.693,61013931,0
2016-02-16,26.994,27.418,26.843,27.26,49989089,0
2016-02-17,27.523,27.968,27.505,27.712,40500125,0
2016-02-18,27.673,27.717,27.382,27.467,32856881,0
2016-02-19,27.334,27.514,27.088,27.41,38183002,0
2016-02-22,27.629,27.85,27.579,27.777,40756221,0
2016-02-23,27.589,27.732,27.467,27.599,32957067,0
2016-02-24,27.295,27.438,26.823,27.354,47547181,0
2016-02-25,27.419,27.877,27.401,27.829,37685327,0
2016-02-26,27.895,28.144,27.886,27.992,30818973,0
2016-02-29,28.029,28.134,27.725,27.745,35870307,0
2016-03-01,28.001,28.535,27.905,28.448,33942079,0
2016-03-02,28.353,28.734,28.334,28.734,39057561,0
2016-03-03,28.753,28.942,28.62,28.773,29512321,0
2016-03-04,28.773,29.124,28.773,29,34693010,0
2016-03-07,28.809,28.99,28.685,28.838,27563934,0
2016-03-08,28.639,28.773,28.535,28.62,32699629,0
2016-03-09,28.714,28.753,28.535,28.61,26068767,0
2016-03-10,28.724,28.838,28.367,28.505,34816321,0
2016-03-11,28.695,29.114,28.695,28.886,33535971,0
2016-03-14,28.773,28.916,28.639,28.818,23274981,0
2016-03-15,28.59,28.916,28.59,28.828,30348447,0
2016-03-16,28.792,28.858,28.624,28.724,34498616,0
2016-03-17,28.773,29.619,28.729,29.476,63695343,0
2016-03-18,29.6,29.658,29.42,29.439,55009974,0
2016-03-21,29.372,29.704,29.314,29.6,28744827,0
2016-03-22,29.495,29.743,29.485,29.572,27345512,0
2016-03-23,29.553,29.743,29.524,29.58,28604997,0
2016-03-24,29.429,29.619,29.343,29.619,28984719,0
2016-03-28,29.648,30.181,29.605,29.98,41456354,0
2016-03-29,29.953,30.068,29.781,29.972,40485915,0
2016-03-30,30.237,30.419,30.21,30.305,36842739,0
2016-03-31,30.361,30.514,30.237,30.267,38687796,0
2016-04-01,29.989,30.484,29.944,30.4,41378247,0
2016-04-04,30.172,30.191,29.595,29.733,47170084,0
2016-04-05,29.467,29.638,29.305,29.495,32854663,0
2016-04-06,29.41,29.989,29.173,29.42,38474770,0
2016-04-07,29.248,29.305,29.049,29.164,35233945,0
2016-04-08,29.42,29.585,29.219,29.314,28153455,0
2016-04-11,29.353,29.515,29.238,29.238,26389486,0
2016-04-12,29.209,29.447,29.114,29.333,28837938,0
2016-04-13,29.495,29.609,29.457,29.495,24814219,0
2016-04-14,29.505,29.59,29.381,29.534,22578626,0
2016-04-15,29.58,29.609,29.447,29.544,25665580,0
2016-04-18,29.42,29.695,29.42,29.572,22133666,0
2016-04-19,29.648,29.714,29.524,29.658,24020088,0
2016-04-20,29.704,29.848,29.563,29.658,27875668,0
2016-04-21,29.629,29.781,29.372,29.495,41629434,0
2016-04-22,29.544,29.686,28.858,29.286,59324871,0
2016-04-25,29.333,29.381,28.942,29.209,37236852,0
2016-04-26,29.362,29.495,29.263,29.42,30124889,0
2016-04-27,29.457,29.524,29.338,29.447,24079747,0
2016-04-28,29.268,29.724,29.229,29.42,30275832,0
2016-04-29,29.277,29.485,29.134,29.277,30341637,0
2016-05-02,29.173,29.505,29.164,29.41,18014629,0
2016-05-03,29.173,29.238,28.896,29.164,29082417,0
2016-05-04,28.942,28.957,28.458,28.629,41775724,0
2016-05-05,28.695,28.792,28.373,28.458,33289639,0
2016-05-06,28.258,28.792,28.001,28.676,29725362,0
2016-05-09,28.61,28.649,28.21,28.438,28517084,0
2016-05-10,28.553,29.095,28.544,29.02,28489429,0
2016-05-11,29.04,29.277,28.886,28.886,24787119,0
2016-05-12,28.41,28.748,28.41,28.649,49640201,0
2016-05-13,28.535,28.669,28.125,28.22,37041322,0
2016-05-16,28.134,28.685,28.106,28.525,26973591,0
2016-05-17,28.458,28.649,28.166,28.286,35207145,0
2016-05-18,28.277,28.42,28.02,28.19,29204194,0
2016-05-19,27.924,28.039,27.668,27.953,35747005,0
2016-05-20,28.115,28.258,28.02,28.144,36629453,0
2016-05-23,28.106,28.249,28.001,28.076,24783340,0
2016-05-24,28.296,28.53,28.263,28.42,25413526,0
2016-05-25,28.562,28.867,28.525,28.649,29050345,0
2016-05-26,28.629,28.782,28.562,28.58,23784619,0
2016-05-27,28.695,28.743,28.6,28.676,20478179,0
2016-05-31,28.676,28.886,28.629,28.782,31819718,0
2016-06-01,28.6,28.695,28.458,28.669,22172385,0
2016-06-02,28.572,28.61,28.42,28.61,19977699,0
2016-06-03,28.58,28.61,28.381,28.505,24994058,0
2016-06-06,28.562,28.782,28.515,28.676,19385784,0
2016-06-07,28.695,28.952,28.685,28.695,26938742,0
2016-06-08,28.782,29.04,28.714,28.858,30591229,0
2016-06-09,28.714,28.876,28.58,28.792,27861074,0
2016-06-10,28.58,28.828,28.496,28.6,30907116,0
2016-06-13,28.544,28.685,28.363,28.401,34590775,0
2016-06-14,28.391,29,28.363,28.981,45858682,0
2016-06-15,29.02,29.429,29.01,29.124,45880265,0
2016-06-16,28.914,29.488,28.856,29.393,70271051,0
2016-06-17,29.402,29.47,29.21,29.355,57965304,0
2016-06-20,29.594,30.045,29.575,29.575,49923058,0
2016-06-21,29.623,29.748,29.613,29.68,37560731,0
2016-06-22,29.738,29.834,29.518,29.527,37535045,0
2016-06-23,29.795,29.94,29.709,29.92,41716627,0
2016-06-24,28.884,29.306,28.539,28.606,89251041,0
2016-06-27,28.338,28.414,27.983,28.117,57509255,0
2016-06-28,28.596,28.779,28.462,28.721,39815590,0
2016-06-29,29.269,29.374,29.066,29.306,37385834,0
2016-06-30,29.412,30.219,29.402,30.199,56615845,0
2016-07-01,30.055,30.343,30.045,30.209,34087453,0
2016-07-05,29.977,30.246,29.853,30.17,33732083,0
2016-07-06,29.996,30.505,29.991,30.449,33457589,0
2016-07-07,30.515,30.793,30.449,30.525,39108503,0
2016-07-08,30.688,30.957,30.688,30.889,40163480,0
2016-07-11,30.947,31.176,30.87,30.899,39261685,0
2016-07-12,30.995,31.167,30.822,30.947,39691267,0
2016-07-13,30.947,31.158,30.937,31.043,33815274,0
2016-07-14,31.176,31.388,31.167,31.301,35287001,0
2016-07-15,31.426,31.609,31.406,31.541,44070069,0
2016-07-18,31.551,31.599,31.33,31.571,39868941,0
2016-07-19,31.416,31.609,31.388,31.589,34973299,0
2016-07-20,31.619,31.656,31.37,31.446,37062618,0
2016-07-21,31.397,31.513,31.167,31.264,44669260,0
2016-07-22,30.439,30.765,30.4,30.755,60211343,0
2016-07-25,30.765,30.775,30.102,30.351,47663950,0
2016-07-26,30.38,30.439,30.036,30.189,38466003,0
2016-07-27,30.209,30.275,29.853,30.006,40903053,0
2016-07-28,29.93,30.036,29.815,29.977,31574284,0
2016-07-29,30.006,30.147,29.845,29.872,50090059,0
2016-08-01,29.853,29.95,29.757,29.881,32459124,0
2016-08-02,29.844,29.891,29.738,29.786,27983951,0
2016-08-03,29.767,29.969,29.762,29.863,20848748,0
2016-08-04,29.93,29.977,29.825,29.901,21154321,0
2016-08-05,29.996,30.17,29.95,30.006,22483178,0
2016-08-08,30.026,30.116,29.94,29.996,21299533,0
2016-08-09,29.96,30.075,29.881,30.026,20962099,0
2016-08-10,29.977,30.06,29.93,29.996,19273935,0
2016-08-11,30.036,30.093,29.93,30.016,39590095,0
2016-08-12,29.93,30.006,29.906,29.969,22231900,0
2016-08-15,30.026,30.075,29.95,29.969,20382842,0
2016-08-16,29.872,30.016,29.815,29.92,23310246,0
2016-08-17,29.987,30.05,29.911,30.016,18314212,0
2016-08-18,29.977,30.151,29.92,30.151,29225629,0
2016-08-19,30.045,30.121,29.911,29.977,25571102,0
2016-08-22,29.901,30.151,29.815,30.045,21317274,0
2016-08-23,30.17,30.285,29.96,29.96,33463942,0
2016-08-24,29.996,30.075,29.901,29.95,22949936,0
2016-08-25,29.92,30.026,29.863,29.94,17736842,0
2016-08-26,29.996,30.179,29.872,29.96,23194278,0
2016-08-29,29.911,30.17,29.901,30.084,22118420,0
2016-08-30,30.065,30.189,30.026,30.093,18906920,0
2016-08-31,30.016,30.071,29.92,29.969,34832702,0
2016-09-01,29.881,30.016,29.7,29.93,43006055,0
2016-09-02,29.977,30.17,29.96,30.016,21689166,0
2016-09-06,30.036,30.065,29.546,29.786,42663900,0
2016-09-07,29.728,29.795,29.546,29.795,28416617,0
2016-09-08,29.738,29.786,29.642,29.776,31509391,0
2016-09-09,29.566,29.566,28.894,28.894,46381774,0
2016-09-12,28.779,29.325,28.625,29.249,43119371,0
2016-09-13,28.989,29.024,28.51,28.635,46957454,0
2016-09-14,28.596,28.779,28.462,28.491,53224739,0
2016-09-15,28.569,28.859,28.443,28.762,36462715,0
2016-09-16,28.646,28.762,28.559,28.694,67164310,0
2016-09-19,28.791,28.965,28.423,28.453,31525932,0
2016-09-20,28.684,28.81,28.636,28.684,30660904,0
2016-09-21,28.762,28.927,28.607,28.859,29990172,0
2016-09-22,28.965,29.11,28.935,29.043,30357858,0
2016-09-23,29.023,29.052,28.819,28.897,23583324,0
2016-09-26,28.81,28.819,28.539,28.559,26773023,0
2016-09-27,28.617,28.974,28.491,28.887,26366647,0
2016-09-28,28.927,28.945,28.617,28.907,27641675,0
2016-09-29,28.819,29.1,28.462,28.549,40160961,0
2016-09-30,28.617,28.859,28.592,28.636,36983478,0
2016-10-03,28.481,28.713,28.423,28.656,20462681,0
2016-10-04,28.723,28.762,28.472,28.52,32195122,0
2016-10-05,28.539,28.713,28.423,28.52,25773000,0
2016-10-06,28.423,28.52,28.172,28.297,29043325,0
2016-10-07,28.095,28.235,27.96,28.114,39126378,0
2016-10-10,28.036,28.337,27.854,27.9,35094530,0
2016-10-11,27.794,28.066,27.738,27.96,31986960,0
2016-10-12,27.96,28.056,27.854,27.94,23499028,0
2016-10-13,27.824,27.94,27.708,27.814,29367554,0
2016-10-14,27.998,28.066,27.864,27.93,29148281,0
2016-10-17,27.94,28.026,27.748,27.891,41096374,0
2016-10-18,28.066,28.114,27.94,28.017,28488767,0
2016-10-19,28.095,28.25,28.066,28.095,30146386,0
2016-10-20,28.133,28.23,27.998,28.105,29350941,0
2016-10-21,27.496,28.036,27.389,28.017,65941023,0
2016-10-24,28.036,28.24,27.94,27.96,32167939,0
2016-10-25,27.979,28.046,27.669,27.698,27348443,0
2016-10-26,27.64,28.105,27.602,27.91,25192714,0
2016-10-27,27.93,27.998,27.659,27.678,26238584,0
2016-10-28,27.92,28.607,27.91,28.25,69820851,0
2016-10-31,28.5,28.666,28.124,28.133,45058588,0
2016-11-01,28.036,28.23,27.758,27.92,33107927,0
2016-11-02,27.9,27.9,27.457,27.543,31932272,0
2016-11-03,27.649,27.649,27.254,27.341,23787950,0
2016-11-04,27.282,27.854,27.282,27.496,37096227,0
2016-11-07,27.891,28.356,27.873,28.337,42520531,0
2016-11-08,28.394,28.636,28.317,28.443,36988089,0
2016-11-09,28.346,28.819,28.105,28.646,55893414,0
2016-11-10,28.859,29.816,28.839,29.4,84068974,0
2016-11-11,29.477,29.748,29.361,29.69,44104734,0
2016-11-14,29.719,29.826,29.473,29.496,38978514,0
2016-11-15,29.468,29.748,29.236,29.728,41561258,0
2016-11-16,29.632,29.753,29.525,29.719,26101912,0
2016-11-17,29.68,29.845,29.641,29.767,18446152,0
2016-11-18,29.728,29.873,29.506,29.651,28565145,0
2016-11-21,29.671,29.854,29.565,29.845,22790924,0
2016-11-22,29.902,30.203,29.85,30.144,28668277,0
2016-11-23,30.203,30.339,30.144,30.299,25455175,0
2016-11-25,30.405,30.445,30.25,30.395,13614518,0
2016-11-28,30.289,30.385,30.174,30.221,21462519,0
2016-11-29,30.24,30.309,29.952,30.018,32501444,0
2016-11-30,30.144,30.23,29.728,29.738,47204326,0
2016-12-01,29.622,30.415,29.603,30.347,46233076,0
2016-12-02,30.319,30.445,30.221,30.299,21808142,0
2016-12-05,30.385,30.405,30.028,30.077,22830304,0
2016-12-06,30.154,30.203,29.979,30.134,18176003,0
2016-12-07,29.979,30.551,29.902,30.551,34101742,0
2016-12-08,30.551,30.647,30.356,30.481,29020943,0
2016-12-09,30.405,30.86,30.309,30.724,32245444,0
2016-12-12,30.617,30.927,30.608,30.802,31734794,0
2016-12-13,30.84,30.937,30.561,30.686,34997422,0
2016-12-14,30.561,30.918,30.395,30.455,45143776,0
2016-12-15,30.445,30.888,30.096,30.221,44553369,0
2016-12-16,30.473,30.811,30.415,30.695,74104587,0
2016-12-19,30.705,30.937,30.652,30.86,36139553,0
2016-12-20,30.86,31.304,30.85,31.178,41140210,0
2016-12-21,31.13,31.169,30.985,31.063,28920053,0
2016-12-22,31.081,31.121,30.956,30.994,24837373,0
2016-12-23,31.044,31.111,30.946,31.053,15356874,0
2016-12-27,31.063,31.213,31.024,31.073,16047723,0
2016-12-28,31.014,31.141,30.848,30.877,19033025,0
2016-12-29,30.917,31.05,30.877,30.887,16518747,0
2016-12-30,30.809,30.97,30.692,30.78,26132309,0
2017-01-03,30.848,31.009,30.585,30.868,32924286,0
2017-01-04,30.927,31.004,30.8,30.877,21963187,0
2017-01-05,30.751,30.927,30.497,30.702,26544388,0
2017-01-06,30.761,30.946,30.547,30.79,22585041,0
2017-01-09,30.819,30.838,30.614,30.644,21798615,0
2017-01-10,30.644,30.8,30.557,30.557,27909755,0
2017-01-11,30.43,30.702,30.43,30.654,29034091,0
2017-01-12,30.634,30.654,30.323,30.575,30636076,0
2017-01-13,30.547,30.634,30.44,30.547,24956883,0
2017-01-17,30.361,30.634,30.351,30.459,29589015,0
2017-01-18,30.4,30.522,30.323,30.42,25358948,0
2017-01-19,30.44,30.527,30.244,30.38,38672536,0
2017-01-20,29.963,30.098,29.514,29.738,85475737,0
2017-01-23,29.709,29.719,28.813,28.978,60632744,0
2017-01-24,29.085,29.28,29.047,29.222,32785019,0
2017-01-25,29.631,29.679,29.431,29.582,39131076,0
2017-01-26,29.65,29.699,29.349,29.533,27474210,0
2017-01-27,29.611,29.65,29.159,29.232,30729116,0
2017-01-30,29.182,29.319,28.997,29.182,26909287,0
2017-01-31,29.075,29.124,28.735,28.93,39730078,0
2017-02-01,28.959,29.037,28.793,28.92,26354418,0
2017-02-02,28.813,28.939,28.735,28.91,22283832,0
2017-02-03,29.017,29.027,28.774,28.93,31932148,0
2017-02-06,28.91,28.978,28.803,28.89,24145875,0
2017-02-07,28.978,29.037,28.764,28.793,24408513,0
2017-02-08,28.744,28.774,28.5,28.667,32972027,0
2017-02-09,28.754,28.93,28.696,28.822,22238063,0
2017-02-10,28.969,28.978,28.783,28.949,23365150,0
2017-02-13,29.105,29.28,28.959,29.261,37526508,0
2017-02-14,29.349,29.494,29.144,29.494,35958850,0
2017-02-15,29.504,29.563,29.397,29.563,26138956,0
2017-02-16,29.563,29.679,29.514,29.66,26622725,0
2017-02-17,29.621,29.65,29.416,29.582,22415311,0
2017-02-21,29.621,29.796,29.553,29.728,31028333,0
2017-02-22,29.728,29.757,29.475,29.543,30920261,0
2017-02-23,29.494,29.533,29.307,29.475,29479690,0
2017-02-24,29.641,29.641,29.641,29.641,27799910,0
2017-02-27,29.504,29.601,29.357,29.396,23944878,0
2017-02-28,29.445,29.533,29.131,29.269,39816064,0
2017-03-01,29.435,29.798,29.278,29.641,37522068,0
2017-03-02,29.68,29.68,29.455,29.641,28132509,0
2017-03-03,29.641,29.666,29.504,29.573,20354148,0
2017-03-06,29.455,29.533,29.376,29.455,23850225,0
2017-03-07,29.386,29.44,29.249,29.317,30520877,0
2017-03-08,29.347,29.396,29.189,29.259,32904137,0
2017-03-09,29.209,29.287,29.023,29.121,26418676,0
2017-03-10,29.297,29.876,29.091,29.73,60295191,0
2017-03-13,29.68,29.71,29.249,29.317,30560459,0
2017-03-14,29.219,29.249,28.934,29.003,23218281,0
2017-03-15,29.013,29.287,28.934,29.219,25604758,0
2017-03-16,29.259,29.278,29.081,29.209,21599531,0
2017-03-17,29.307,29.494,29.229,29.337,44444422,0
2017-03-20,29.357,29.376,29.151,29.199,19226479,0
2017-03-21,29.317,29.317,28.807,28.856,27318388,0
2017-03-22,29.023,29.17,28.777,28.993,26482004,0
2017-03-23,28.964,29.189,28.846,29.081,25128545,0
2017-03-24,29.052,29.269,28.993,29.179,28393598,0
2017-03-27,28.915,28.974,28.718,28.905,29517567,0
2017-03-28,28.777,29.189,28.718,29.081,28347858,0
2017-03-29,28.983,29.17,28.925,29.141,28068857,0
2017-03-30,29.121,29.445,29.091,29.327,36612606,0
2017-03-31,29.317,29.494,29.199,29.259,51730550,0
2017-04-03,29.219,29.455,29.204,29.337,30466006,0
2017-04-04,29.357,29.543,29.161,29.475,25520623,0
2017-04-05,29.543,29.868,29.405,29.425,26251333,0
2017-04-06,29.455,29.627,29.376,29.386,21931465,0
2017-04-07,29.376,29.641,29.376,29.445,19325699,0
2017-04-10,29.523,29.68,29.415,29.465,18832828,0
2017-04-11,29.455,29.553,29.297,29.494,22446468,0
2017-04-12,29.337,29.357,29.111,29.229,27535659,0
2017-04-13,29.161,29.259,29.013,29.023,20340550,0
2017-04-17,29.081,29.161,29.013,29.101,22178060,0
2017-04-18,29.062,29.357,29.043,29.297,26180681,0
2017-04-19,29.347,29.514,29.327,29.455,27049562,0
2017-04-20,29.504,29.985,29.484,29.72,37661818,0
2017-04-21,29.72,29.828,28.915,29.013,73644253,0
2017-04-24,29.307,29.386,28.954,29.013,48960109,0
2017-04-25,28.915,29.062,28.787,28.915,40584818,0
2017-04-26,28.983,29.013,28.728,28.728,38036892,0
2017-04-27,28.758,28.777,28.492,28.552,33500958,0
2017-04-28,28.572,28.63,28.404,28.463,24524250,0
2017-05-01,28.482,28.64,28.404,28.414,24458252,0
2017-05-02,28.482,28.522,28.384,28.463,32244856,0
2017-05-03,28.394,28.758,28.326,28.698,27379843,0
2017-05-04,28.738,28.777,28.522,28.67,19957627,0
2017-05-05,28.6,28.708,28.58,28.689,17239870,0
2017-05-08,28.63,28.713,28.473,28.542,22022143,0
2017-05-09,28.552,28.562,28.336,28.404,24264844,0
2017-05-10,28.394,28.404,28.08,28.178,26526829,0
2017-05-11,28.159,28.365,27.982,28.345,28529935,0
2017-05-12,27.845,27.933,27.344,27.757,69648329,0
2017-05-15,27.56,27.727,27.462,27.668,40246184,0
2017-05-16,27.737,27.766,27.491,27.53,29991726,0
2017-05-17,27.314,27.364,26.912,26.912,53395184,0
2017-05-18,26.765,27.148,26.607,26.98,49343110,0
2017-05-19,27.05,27.653,27,27.54,49302185,0
2017-05-22,27.717,27.785,27.55,27.668,28294820,0
